Pos,No,Driver,Team,Laps,Time,Grid,Pts,Season,Race,RaceNo
16,16,Kamui Kobayashi,Sauber-Ferrari,56,+1 Lap,14,0,2011,Europe,8
17,11,Rubens Barrichello,Williams-Cosworth,64,+2 Laps,19,0,2011,Spain,8
17,7,Michael Schumacher,Mercedes,56,+1 Lap,8,0,2011,Europe,8
18,21,Jarno Trulli,Lotus-Renault,64,+2 Laps,18,0,2011,Spain,8
18,12,Pastor Maldonado,Williams-Cosworth,56,+1 Lap,15,0,2011,Europe,8
19,24,Timo Glock,Virgin-Cosworth,63,+3 Laps,20,0,2011,Spain,8
19,20,Heikki Kovalainen,Lotus-Renault,55,+2 Laps,19,0,2011,Europe,8
20,25,Jerome D'Ambrosio,Virgin-Cosworth,62,+4 Laps,23,0,2011,Spain,8
20,21,Jarno Trulli,Lotus-Renault,55,+2 Laps,20,0,2011,Europe,8
21,22,Narain Karthikeyan,HRT-Cosworth,61,+5 Laps,22,0,2011,Spain,8
21,24,Timo Glock,Virgin-Cosworth,55,+2 Laps,21,0,2011,Europe,8
22,25,Jerome D'Ambrosio,Virgin-Cosworth,55,+2 Laps,23,0,2011,Europe,8
23,23,Vitantonio Liuzzi,HRT-Cosworth,54,+3 Laps,22,0,2011,Europe,8
24,22,Narain Karthikeyan,HRT-Cosworth,54,+3 Laps,24,0,2011,Europe,8
Ret,6,Felipe Massa,Ferrari,58,Gearbox,8,0,2011,Spain,8
Ret,20,Heikki Kovalainen,Lotus-Renault,48,Accident,15,0,2011,Spain,8
Ret,23,Vitantonio Liuzzi,HRT-Cosworth,28,Gearbox,21,0,2011,Spain,8
1,5,Fernando Alonso,Ferrari,52,1:28:41.196,3,25,2011,Britain,9
2,1,Sebastian Vettel,Red Bull Racing-Renault,52,+16.5 secs,2,18,2011,Britain,9
3,2,Mark Webber,Red Bull Racing-Renault,52,+16.9 secs,1,15,2011,Britain,9
4,3,Lewis Hamilton,McLaren-Mercedes,52,+28.9 secs,10,12,2011,Britain,9
5,6,Felipe Massa,Ferrari,52,+29.0 secs,4,10,2011,Britain,9
6,8,Nico Rosberg,Mercedes,52,+60.6 secs,9,8,2011,Britain,9
7,17,Sergio Perez,Sauber-Ferrari,52,+65.5 secs,12,6,2011,Britain,9
8,9,Nick Heidfeld,Renault,52,+75.5 secs,16,4,2011,Britain,9
9,7,Michael Schumacher,Mercedes,52,+77.9 secs,13,2,2011,Britain,9
10,19,Jaime Alguersuari,STR-Ferrari,52,+79.1 secs,18,1,2011,Britain,9
11,14,Adrian Sutil,Force India-Mercedes,52,+79.7 secs,11,0,2011,Britain,9
12,10,Vitaly Petrov,Renault,52,+80.6 secs,14,0,2011,Britain,9
13,11,Rubens Barrichello,Williams-Cosworth,51,+1 Lap,15,0,2011,Britain,9
14,12,Pastor Maldonado,Williams-Cosworth,51,+1 Lap,7,0,2011,Britain,9
15,15,Paul di Resta,Force India-Mercedes,51,+1 Lap,6,0,2011,Britain,9
16,24,Timo Glock,Virgin-Cosworth,50,+2 Laps,20,0,2011,Britain,9
17,25,Jerome D'Ambrosio,Virgin-Cosworth,50,+2 Laps,22,0,2011,Britain,9
18,23,Vitantonio Liuzzi,HRT-Cosworth,50,+2 Laps,23,0,2011,Britain,9
19,22,Daniel Ricciardo,HRT-Cosworth,49,+3 Laps,24,0,2011,Britain,9
Ret,4,Jenson Button,McLaren-Mercedes,39,Wheel nut,5,0,2011,Britain,9
Ret,18,Sebastien Buemi,STR-Ferrari,25,Accident damage,19,0,2011,Britain,9
Ret,16,Kamui Kobayashi,Sauber-Ferrari,23,Oil leak,8,0,2011,Britain,9
Ret,21,Jarno Trulli,Lotus-Renault,10,Oil leak,21,0,2011,Britain,9
Ret,20,Heikki Kovalainen,Lotus-Renault,2,Gearbox,17,0,2011,Britain,9
1,3,Lewis Hamilton,McLaren-Mercedes,60,1:37:30.334,2,25,2011,Germany,10
2,5,Fernando Alonso,Ferrari,60,+3.9 secs,4,18,2011,Germany,10
3,2,Mark Webber,Red Bull Racing-Renault,60,+9.7 secs,1,15,2011,Germany,10
4,1,Sebastian Vettel,Red Bull Racing-Renault,60,+47.9 secs,3,12,2011,Germany,10
5,6,Felipe Massa,Ferrari,60,+52.2 secs,5,10,2011,Germany,10
6,14,Adrian Sutil,Force India-Mercedes,60,+86.2 secs,8,8,2011,Germany,10
7,8,Nico Rosberg,Mercedes,59,+1 Lap,6,6,2011,Germany,10
8,7,Michael Schumacher,Mercedes,59,+1 Lap,10,4,2011,Germany,10
9,16,Kamui Kobayashi,Sauber-Ferrari,59,+1 Lap,17,2,2011,Germany,10
10,10,Vitaly Petrov,Renault,59,+1 Lap,9,1,2011,Germany,10
11,17,Sergio Perez,Sauber-Ferrari,59,+1 Lap,15,0,2011,Germany,10
12,19,Jaime Alguersuari,STR-Ferrari,59,+1 Lap,16,0,2011,Germany,10
13,15,Paul di Resta,Force India-Mercedes,59,+1 Lap,12,0,2011,Germany,10
14,12,Pastor Maldonado,Williams-Cosworth,59,+1 Lap,13,0,2011,Germany,10
15,18,Sebastien Buemi,STR-Ferrari,59,+1 Lap,24,0,2011,Germany,10
16,20,Heikki Kovalainen,Lotus-Renault,58,+2 Laps,18,0,2011,Germany,10
17,24,Timo Glock,Virgin-Cosworth,57,+3 Laps,19,0,2011,Germany,10
18,25,Jerome D'Ambrosio,Virgin-Cosworth,57,+3 Laps,21,0,2011,Germany,10
